SampleID	Group	forward-absolute-filepath	reverse-absolute-filepath
HC1_F	HC	/data/Alex/X155/Clean/HC1_F_1.fq.gz	/data/Alex/X155/Clean/HC1_F_2.fq.gz
HC2_F	HC	/data/Alex/X155/Clean/HC2_F_1.fq.gz	/data/Alex/X155/Clean/HC2_F_2.fq.gz
HC3_F	HC	/data/Alex/X155/Clean/HC3_F_1.fq.gz	/data/Alex/X155/Clean/HC3_F_2.fq.gz
HC4_F	HC	/data/Alex/X155/Clean/HC4_F_1.fq.gz	/data/Alex/X155/Clean/HC4_F_2.fq.gz
HC10_F	HC	/data/Alex/X155/Clean/HC10_F_1.fq.gz	/data/Alex/X155/Clean/HC10_F_2.fq.gz
HC11_F	HC	/data/Alex/X155/Clean/HC11_F_1.fq.gz	/data/Alex/X155/Clean/HC11_F_2.fq.gz
HC12_F	HC	/data/Alex/X155/Clean/HC12_F_1.fq.gz	/data/Alex/X155/Clean/HC12_F_2.fq.gz
HC13_F	HC	/data/Alex/X155/Clean/HC13_F_1.fq.gz	/data/Alex/X155/Clean/HC13_F_2.fq.gz
HC17_F	HC	/data/Alex/X155/Clean/HC17_F_1.fq.gz	/data/Alex/X155/Clean/HC17_F_2.fq.gz
HC18_F	HC	/data/Alex/X155/Clean/HC18_F_1.fq.gz	/data/Alex/X155/Clean/HC18_F_2.fq.gz
HC19_F	HC	/data/Alex/X155/Clean/HC19_F_1.fq.gz	/data/Alex/X155/Clean/HC19_F_2.fq.gz
HC20_F	HC	/data/Alex/X155/Clean/HC20_F_1.fq.gz	/data/Alex/X155/Clean/HC20_F_2.fq.gz
HC21_F	HC	/data/Alex/X155/Clean/HC21_F_1.fq.gz	/data/Alex/X155/Clean/HC21_F_2.fq.gz
HC23_F	HC	/data/Alex/X155/Clean/HC23_F_1.fq.gz	/data/Alex/X155/Clean/HC23_F_2.fq.gz
HC24_F	HC	/data/Alex/X155/Clean/HC24_F_1.fq.gz	/data/Alex/X155/Clean/HC24_F_2.fq.gz
HC25_F	HC	/data/Alex/X155/Clean/HC25_F_1.fq.gz	/data/Alex/X155/Clean/HC25_F_2.fq.gz
HC26_F	HC	/data/Alex/X155/Clean/HC26_F_1.fq.gz	/data/Alex/X155/Clean/HC26_F_2.fq.gz
HC27_F	HC	/data/Alex/X155/Clean/HC27_F_1.fq.gz	/data/Alex/X155/Clean/HC27_F_2.fq.gz
HC28_F	HC	/data/Alex/X155/Clean/HC28_F_1.fq.gz	/data/Alex/X155/Clean/HC28_F_2.fq.gz
HC29_F	HC	/data/Alex/X155/Clean/HC29_F_1.fq.gz	/data/Alex/X155/Clean/HC29_F_2.fq.gz
HC30_F	HC	/data/Alex/X155/Clean/HC30_F_1.fq.gz	/data/Alex/X155/Clean/HC30_F_2.fq.gz
UC2_F	UC	/data/Alex/X155/Clean/UC2_F_1.fq.gz	/data/Alex/X155/Clean/UC2_F_2.fq.gz
UC3_F	UC	/data/Alex/X155/Clean/UC3_F_1.fq.gz	/data/Alex/X155/Clean/UC3_F_2.fq.gz
UC4_F	UC	/data/Alex/X155/Clean/UC4_F_1.fq.gz	/data/Alex/X155/Clean/UC4_F_2.fq.gz
UC5_F	UC	/data/Alex/X155/Clean/UC5_F_1.fq.gz	/data/Alex/X155/Clean/UC5_F_2.fq.gz
UC8_F	UC	/data/Alex/X155/Clean/UC8_F_1.fq.gz	/data/Alex/X155/Clean/UC8_F_2.fq.gz
UC9_F	UC	/data/Alex/X155/Clean/UC9_F_1.fq.gz	/data/Alex/X155/Clean/UC9_F_2.fq.gz
UC13_F	UC	/data/Alex/X155/Clean/UC13_F_1.fq.gz	/data/Alex/X155/Clean/UC13_F_2.fq.gz
UC14_F	UC	/data/Alex/X155/Clean/UC14_F_1.fq.gz	/data/Alex/X155/Clean/UC14_F_2.fq.gz
UC15_F	UC	/data/Alex/X155/Clean/UC15_F_1.fq.gz	/data/Alex/X155/Clean/UC15_F_2.fq.gz
UC16_F	UC	/data/Alex/X155/Clean/UC16_F_1.fq.gz	/data/Alex/X155/Clean/UC16_F_2.fq.gz
UC20_F	UC	/data/Alex/X155/Clean/UC20_F_1.fq.gz	/data/Alex/X155/Clean/UC20_F_2.fq.gz
UC22_F	UC	/data/Alex/X155/Clean/UC22_F_1.fq.gz	/data/Alex/X155/Clean/UC22_F_2.fq.gz
UC26_F	UC	/data/Alex/X155/Clean/UC26_F_1.fq.gz	/data/Alex/X155/Clean/UC26_F_2.fq.gz
UC27_F	UC	/data/Alex/X155/Clean/UC27_F_1.fq.gz	/data/Alex/X155/Clean/UC27_F_2.fq.gz
UC29_F	UC	/data/Alex/X155/Clean/UC29_F_1.fq.gz	/data/Alex/X155/Clean/UC29_F_2.fq.gz
