node,attr
C2C2-GATA,TF
B3,TF
zf-HD,TF
GRAS,TF
AP2/ERF-ERF,TF
C2H2,TF
NF-YB,TF
C3H,TF
GARP-G2-like,TF
SBP,TF
RWP-RK,TF
MYB,TF
OFP,TF
MADS-MIKC,TF
PLATZ,TF
bHLH,TF
HSF,TF
FAR1,TF
WRKY,TF
BES1,TF
CSD,TF
NF-YC,TF
CPP,TF
bZIP,TF
MYB-related,TF
Tify,TF
TUB,TF
NAC,TF
HB-other,TF
C2C2-Dof,TF
TRINITY_DN102612_c0_g1,Gene
TRINITY_DN109668_c0_g1,Gene
TRINITY_DN11584_c0_g1,Gene
TRINITY_DN116902_c0_g1,Gene
TRINITY_DN11733_c0_g1,Gene
TRINITY_DN121287_c0_g1,Gene
TRINITY_DN123943_c1_g1,Gene
TRINITY_DN124130_c0_g1,Gene
TRINITY_DN124706_c0_g1,Gene
TRINITY_DN146190_c0_g2,Gene
TRINITY_DN146_c0_g2,Gene
TRINITY_DN147835_c0_g1,Gene
TRINITY_DN150502_c0_g1,Gene
TRINITY_DN1513_c8_g1,Gene
TRINITY_DN15694_c1_g1,Gene
TRINITY_DN16556_c0_g1,Gene
TRINITY_DN17550_c0_g1,Gene
TRINITY_DN18353_c0_g1,Gene
TRINITY_DN19191_c0_g2,Gene
TRINITY_DN19331_c0_g1,Gene
TRINITY_DN1997_c1_g1,Gene
TRINITY_DN218733_c0_g1,Gene
TRINITY_DN22875_c1_g1,Gene
TRINITY_DN228893_c0_g1,Gene
TRINITY_DN2476_c0_g1,Gene
TRINITY_DN2488_c0_g2,Gene
TRINITY_DN2502_c0_g1,Gene
TRINITY_DN253_c2_g1,Gene
TRINITY_DN2566_c0_g1,Gene
TRINITY_DN26085_c0_g1,Gene
TRINITY_DN26528_c0_g1,Gene
TRINITY_DN29545_c0_g1,Gene
TRINITY_DN29555_c0_g1,Gene
TRINITY_DN29888_c0_g1,Gene
TRINITY_DN30599_c0_g1,Gene
TRINITY_DN31224_c0_g1,Gene
TRINITY_DN3128_c0_g1,Gene
TRINITY_DN31961_c1_g2,Gene
TRINITY_DN3376_c0_g1,Gene
TRINITY_DN3419_c2_g1,Gene
TRINITY_DN3568_c11_g1,Gene
TRINITY_DN36315_c0_g1,Gene
TRINITY_DN36755_c1_g1,Gene
TRINITY_DN37614_c0_g1,Gene
TRINITY_DN38607_c0_g1,Gene
TRINITY_DN41532_c0_g2,Gene
TRINITY_DN4176_c3_g1,Gene
TRINITY_DN4205_c3_g1,Gene
TRINITY_DN44033_c0_g1,Gene
TRINITY_DN47595_c3_g1,Gene
TRINITY_DN48431_c0_g1,Gene
TRINITY_DN49004_c0_g1,Gene
TRINITY_DN4941_c0_g1,Gene
TRINITY_DN51605_c0_g1,Gene
TRINITY_DN5308_c0_g1,Gene
TRINITY_DN5463_c0_g1,Gene
TRINITY_DN55827_c0_g1,Gene
TRINITY_DN56837_c2_g1,Gene
TRINITY_DN6123_c0_g2,Gene
TRINITY_DN61663_c0_g1,Gene
TRINITY_DN6244_c2_g1,Gene
TRINITY_DN6331_c0_g3,Gene
TRINITY_DN64839_c0_g1,Gene
TRINITY_DN65759_c1_g1,Gene
TRINITY_DN65811_c0_g1,Gene
TRINITY_DN687_c0_g4,Gene
TRINITY_DN69839_c0_g1,Gene
TRINITY_DN72618_c0_g1,Gene
TRINITY_DN75305_c1_g1,Gene
TRINITY_DN7618_c0_g1,Gene
TRINITY_DN8283_c0_g3,Gene
TRINITY_DN83_c0_g3,Gene
TRINITY_DN84065_c1_g1,Gene
TRINITY_DN8752_c0_g1,Gene
TRINITY_DN8830_c0_g1,Gene
TRINITY_DN96374_c0_g1,Gene
TRINITY_DN98235_c2_g1,Gene
TRINITY_DN9900_c0_g1,Gene
